Strain,Company,Types,Categories,THC level,Price,Feelings,Flavor,Description,THC level numeric,Price numeric
Silver Haze,Zizzle,Sativa,Flower,20.97%,$54.00 ,"Energetic,Happy,Creative,Focused,Inspired,Uplifted",Not Specified,"Silver Haze, a distinguished sativa-dominant hybrid with a landrace genetic makeup, earned legendary status as the first-place winner of New York State's inaugural Legal Cannabis Cup. Cultivated by Zizzle, it epitomizes excellence in the cannabis world.Bred by Sensi Seeds in the 1980s, Silver Haze is a masterful blend of Haze, Northern Lights, and Skunk, enriched with subtle traits from the original Trainwreck strain. Boasting a potent THC content of 18% to 24%, it delivers a powerful, uplifting, and cerebral high that sparks creativity, induces euphoria, and enhances focus, a favorite among both recreational and medical users.The strain's captivating aroma and flavor profile, featuring citrus, pine, and spice notes, contribute to Silver Haze's allure, making it a connoisseur's choice. Its appearance is equally striking, with elongated, slender buds displaying a vibrant green hue and a generous trichome coating.Zizzle's cultivation excellence shines through, as demonstrated in their commitment to precision, care, and innovation, resulting in Silver Haze surpassing expectations of judges and consumers alike. The strain's victory in the Legal Cannabis Cup marks a milestone in New York State's post-legalization era, solidifying its place in cannabis history. As Silver Haze embodies the best of its genetic lineage and Zizzle's craftsmanship, it is poised to continue setting new standards for quality and excellence in the evolving world of cannabis..",20,54
Blue Dream,Harvest,Sativa,Flower,24%,$45.00 ,"Creative,Uplifted,Energetic","blueberry,berry,sweet","Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation. Blue dream is 18% THC but has a low CBD percentage, making this potent strain a fan favorite of both novice and veteran cannabis consumers. In terms of flavor, Blue Dream is reported to smell and taste like sweet berries. Medical marijuana patients often use Blue Dream to treat symptoms of depression, chronic pain, and nausea. Blue Dream originated in California and has since achieved legendary status among West Coast strains and has quickly become one of the most-searched-for strains in the Leafly database. The average price per gram of Blue Dream is $20. Strains similar to Blue Dream include Blue Dream CBD, Double Dream,and Blue Magoo.",24,45
Party | Hella Jelly | 2 Pack,Honeybee Collective,Sativa,Pre-rolls,19.08%,$15.50 ,"Creative,Uplifted,Energetic,Focused",Not Specified,"PARTY - An Energetic, Happy Experience Perfect for a day on the slopes, a summer BBQ, or a deep house clean, these pre-rolls bring the party energy",19,15.5
Sour Diesel ,Dank,Sativa,Pre-rolls,23%,$16.00 ,"Energetic,Talkative,Uplifted","diesel,pungent,skunk","Sour Diesel, also known as ""Sour D"" and ""Sour Deez,"" is a popular hybrid marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel effects are dreamy, cerebral, fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.",23,16
Lavender | Botanicals | 2 Pack,Drew Martin,Sativa,Pre-rolls,33%,$20.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"BE OPEN | Rose Petal + Hybrid The gentle aroma of rose petals envelops you, clearing your mind. A refreshing tingle of peppermint swirls around the hybrid cannabis cultivar leaving you feeling balanced and more open to the world around you. You exhale, ?Be open.? This curated blend of cannabis and botanicals was formulated by Drew Martin, an award-winning mixologist and herbalist, to harness the power of plants through cannabinoids, terpenes, and botanicals.",33,20
Candy Jack | Live Resin Infused | 5 Pack,Florist Farms,Sativa,Pre-rolls,42%,$40.00 ,"Energetic,Creative,Uplifted","sweet,citrus,pine","Candy Jack is a mostly sativa strain that provides a swift boost to your mood alongside a sweet, citrus aroma. The fragrant smell is inherited from its Skunk #1 parent, while creative and focused effects stem from the Jack Herer side of the family. While its complex terpene profile may impress even the most hardened connoisseur, patients typically appreciate Candy Jack?s ability to counter stress, depression, and appetite loss. With a few Cannabis Cup wins already under its belt, Candy Jack?s potency, flavor, and effects have won this sativa a sterling reputation in the cannabis world. ",42,40
THCv | Live Resin Infused | 5 Pack,Florist Farms,Sativa,Pre-rolls,39%,$40.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",39,40
Blue Dream | 1g,Harvest,Sativa,Pre-rolls,17.49%,$14.00 ,"Creative,Uplifted,Energetic","blueberry,berry,sweet","Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation. Blue dream is 18% THC but has a low CBD percentage, making this potent strain a fan favorite of both novice and veteran cannabis consumers. In terms of flavor, Blue Dream is reported to smell and taste like sweet berries. Medical marijuana patients often use Blue Dream to treat symptoms of depression, chronic pain, and nausea. Blue Dream originated in California and has since achieved legendary status among West Coast strains and has quickly become one of the most-searched-for strains in the Leafly database. The average price per gram of Blue Dream is $20. Strains similar to Blue Dream include Blue Dream CBD, Double Dream,and Blue Magoo.",17,14
Sour Diesel | 3 Pack,Zizzle,Sativa,Pre-rolls,23%,$28.00 ,"Energetic,Talkative,Uplifted","diesel,pungent,skunk","Sour Diesel, also known as ""Sour D"" and ""Sour Deez,"" is a popular hybrid marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel effects are dreamy, cerebral, fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.",23,28
Super Lemon Haze | 1g,Verde Lucido,Sativa,Pre-rolls,20%,$12.00 ,"Energetic,Uplifted,Creative","lemon,citrus,lime","Super Lemon Haze, sometimes called ""SLH,"" is a sativa-dominant hybrid marijuana strain of Lemon Skunk and Super Silver Haze and two time Cannabis Cup winner from Green House Seeds. Super Lemon Haze is a kief-caked multi-colored wonder. As the name states this strain has real lemony characteristics. The smell is zesty, citrusy, and a little sweet. As for the taste, it's everything one would expect from the namesake; tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight.",20,12
Mule Fuel | 1g,Verde Lucido,Sativa,Pre-rolls,27.09%,$12.00 ,"Sleepy,Relaxed,Euphoric","sobacco,chemical,diesel","Mule Fuel is a hybrid weed strain made from a genetic cross between  Lurch and GMO Cookies. Mule Fuel is 29% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Mule Fuel effects include feeling sleepy,  relaxed, and euphoric. Medical marijuana patients often choose Mule Fuel when dealing with symptoms associated with anxiety,  depression, and stress. Bred by Thug Pug Genetics, Mule Fuel features flavors like tobacco, chemical and diesel. The dominant terpene of this strain is terpinolene. The average price of Mule Fuel typically ranges from $45-$60. If you?ve smoked, dabbed, or consumed Mule Fuel, tell us about your experience by leaving a strain review.",27,12
Super Jack | DNA | POD | 1g,Plug Play,Sativa,Vaporizers,92.61%,$70.00 ,"Happy,Focused",Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,92,70
Alaskan Thunder Fuck | AIO,ayrloom,Sativa,Vaporizers,90%,$35.00 ,"Energetic,Talkatve,Uplifted","menthol,pine,sage","Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa marijuana strain originating in the Matanuska Valley area of Alaska. According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier (and also making it a hybrid). Alaskan Thunder Fuck usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk. Known for possessing a relaxing yet intensely euphoric high, it is also described as having a ?creeper? effect as well as pronounced appetite enhancement.",90,35
Focus | Disposable Vape,ayrloom,Sativa,Vaporizers,75%,$60.00 ,"Focused,Happy,Energetic,Creative,Inspired",Not Specified,"Achieve a centered mindset with ayrloom mood?s focus vape. the crisp eucalyptus, citrus + melon aromas combine to help enhance mental clarity + concentration. eucalyptus is traditionally linked to cognitive benefits, such as alertness and sharpness, while fresh citrus is associated with its energizing properties.INGREDIENTS CANNABIS EXTRACT, BOTANICALLY DERIVED TERPENES INSTRUCTIONS INHALE FOR 3-5 SECONDS. WAIT AT LEAST 30 SECONDS BETWEEN PUFFS. STORE VERTICALLY AND AT ROOM TEMPERATURE AWAY FROM LIGHT.",75,60
Mango | AIO | 1g,Cannabals,Sativa,Vaporizers,88%,$65.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Experience the tropical taste of mango with CANNABALS - ""Cannabis you can Taste""! Our compact and discrete disposable Mango vape may be small, but it packs a punch. Our state-of-the-art custom Blinc AiO Simpl vaporizer delivers one gram of high potency sativa cannabis oil, infused with the luscious flavors of mango. Mango is known for its sweet and tangy taste, reminiscent of biting into a ripe mango on a sunny beach. With CANNABALS, you can enjoy the full flavor and aroma of this tropical fruit in a convenient and portable vape. It's a truly delightful experience that will transport you to a state of relaxation and bliss. Don't settle for bland and boring cannabis products. Choose CANNABALS and indulge in the flavorful world of ""Cannabis you can Taste"". Try our Mango vape today and elevate your cannabis experience to a whole new level.",88,65
Tangerine Dream | AIO | 1g,Cannabals,Sativa,Vaporizers,88%,$65.00 ,"Energetic,Uplifted,Happy","orange,citrus,sweet","Tangerine Dream is a sativa-leaning strain with effects that may reduce pain and increase energy. Tangerine Dream (from the illustrious Barney?s Farm) is a cross of G13, Afghani, and Neville's A5 Haze. Consuming too much Tangerine Dream may leave you stuck in the couch, as this strain was crafted to meet the demands of medical patients. Uplifting and euphoric, it provides consumers with mental clarity while deeply relaxing muscles. Tangerine Dream typically flowers in 8 to 10 weeks and features a citrusy aroma.",88,65
Georgia Peach | AIO | 1g,Cannabals,Sativa,Vaporizers,88%,$65.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Experience the sweet and juicy taste of Georgia Peach with CANNABALS - ""Cannabis you can Taste""! Our compact and discrete disposable Georgia Peach vape may be small, but it packs a punch. Our state-of-the-art custom Blinc AiO Simpl vaporizer delivers one gram of high potency sativa cannabis oil, infused with the delightful flavors of Georgia Peach. Georgia Peach is known for its mouthwatering taste, reminiscent of biting into a ripe peach on a warm summer day. With CANNABALS, you can enjoy the full flavor and aroma of this delicious fruit in a convenient and portable vape. It's a truly delightful experience that will transport you to a state of relaxation and bliss. Don't settle for bland and boring cannabis products. Choose CANNABALS and indulge in the flavorful world of ""Cannabis you can Taste"". Try our Georgia Peach vape today and elevate your cannabis experience to a whole new level.",88,65
Blood Orange Diesel | Vape | 0.5g,Gezoont,Sativa,Vaporizers,83%,$35.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,Our .5g Blood Orange Diesel vape pods contain full spectrum distillate made from our highest quality CO2 oil. We never use ethanol or any solvent other than CO2 in its creation. The devices are rechargeable and disposable.Total THC: 83.31%/416.55MG Total Cannabinoids: 88.79%/443.97mg Live Terpenes: 3.7%Beta-Myrcene (anti-inflammatory)Alpha-Pinene (anti-anxiety)Limonene (mood elevation/uplifting),83,35
Pineapple Express | 1g,Jaunty,Sativa,Vaporizers,90%,$60.00 ,"Energetic,Happy,Talkative","pineapple,tropical,mango","Pineapple Express is a sativa-dominant hybrid marijuana strain made by crossing Trainwreck with Hawaiian. While this strain rose to fame on the silver screen in 2008 amidst the release of Pineapple Express, it is a real strain that you can find on the shelves of dispensaries across the country.  Since then, this strain has become a favorite in the hearts and minds of cannabis lovers. Pineapple Express produces long-lasting energetic effects that you can feel right away. Pineapple Express is 20% THC and may make you feel buzzy, alert, and creative. The best time to smoke Pineapple Express is in the morning, afternoon, or early evening hours. In terms of flavor, this strain packs a punch to your pallet with bright citrus notes infused with pineapple and earthy pine, thanks to the terpenes of caryophyllene limonene and Ocimene. Medical marijuana patients choose Pineapple Express to relieve symptoms associated with depression, pain, and fatigue. The average price per gram of Pineapple Express is $20.",90,60
Sour Diesel | 1g,Jaunty,Sativa,Vaporizers,90%,$60.00 ,"Energetic,Talkative,Uplifted","diesel,pungent,skunk","Sour Diesel, also known as ""Sour D"" and ""Sour Deez,"" is a popular hybrid marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel effects are dreamy, cerebral, fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.",90,60
Amnesia Haze | 1g,Jaunty,Sativa,Vaporizers,90%,$60.00 ,"Energetic,Talkative,Giggly","lemo,citrus,lime","With earthy flavors of lemons and citrus, Amnesia Haze is the perfect sativa strain to start your day with a smile. The uplifting, energetic buzz is one you won?t soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam.",90,60
Mimosa | 1g,Jaunty,Sativa,Vaporizers,90%,$60.00 ,"Energetic,Uplifted,Focused","orange,citrus,grapefruit","Mimosa, also known as ""Purple Mimosa,"" is a hybrid marijuana strain made by crossing Clementine with Purple Punch. In small doses, this strain produces happy, level-headed effects that will leave you feeling uplifted and motivated enough to take on any mundane task. In large doses, Mimosa may make you feel sleepy and relaxed. This strain has a strong aroma and flavor that reminds you of its namesake, with notes of fruit and citrus flavors bursting through. Medical marijuana patients choose this strain to help relieve symptoms associated with depression and stress. Mimosa is a staple from the Tangie family. Breeder Symbiotic Genetics has released a refined Mimosa dubbed Mimosa v6.",90,60
Fruit Punch | Live Resin | Ready To Use | 1g,Rove,Sativa,Vaporizers,92.10%,$95.00 ,"Energetic,Uplifted,Creative","tropical,tree fruit,berry","Fruit Punch is a sativa marijuana strain made by crossing Skunk, Haze, and Northern Lights. Named for its swift hit of sweet, fruity, and tropical flavors, this sativa has something to offer in both taste and effect. Fruit Punch charges the mind with creative and social energy, so keep this strain in your stash jar for active days spent with friends or personal hobbies. ",92,95
Silver Surfer | Live Resin Disposable,To The Moon,Sativa,Vaporizers,98.65%,$80.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",98,80
Silver Surfer | Live Resin Disposable,To The Moon,Sativa,Vaporizers,98.65%,$80.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",98,80
Dreamsicle | Disposable | Live Resin | 1.0g,To The Moon,Sativa,Vaporizers,84.81%,$80.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",84,80
NYC Diesel | Disposable | Live Resin | 1.0g,To The Moon,Sativa,Vaporizers,83.07%,$80.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",83,80
Holy Roller | Live Resin Badder,MFNY,Sativa,Vaporizers,67.08%,$70.00 ,"Happy,Energetic,Uplifted","lime,lemon,pungent","Bred by Archive Seed Bank, Holy Roller crosses Big Sur Holy Weed?a classic California sativa haze?with Do-Si-Dos, putting a new spin on a old favorite. Expect long, dense colas with trichome-splashed buds. Unique smells and flavors range from eucalyptus to turpentine, while some phenos offer more of the Do-Si-Dos lime haze flavor. This is a perfect strain for any connoisseur looking to step outside the box and try something new.",67,70
Blue Dream | Live Resin | Ready To Use | 1g,Rove,Sativa,Vaporizers,94.90%,$95.00 ,"Creative,Uplifted,Energetic","blueberry,berry,sweet","Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation. Blue dream is 18% THC but has a low CBD percentage, making this potent strain a fan favorite of both novice and veteran cannabis consumers. In terms of flavor, Blue Dream is reported to smell and taste like sweet berries. Medical marijuana patients often use Blue Dream to treat symptoms of depression, chronic pain, and nausea. Blue Dream originated in California and has since achieved legendary status among West Coast strains and has quickly become one of the most-searched-for strains in the Leafly database. The average price per gram of Blue Dream is $20. Strains similar to Blue Dream include Blue Dream CBD, Double Dream,and Blue Magoo.",94,95
Pineapple | AIO,avrloom,Sativa,Vaporizers,90%,$35.00 ,"Energetic,Talkatve,Uplifted",Not Specified,Sweet and subtly tart but refreshing and light,90,35
Orange Creamsicle | AIO,avrloom,Sativa,Vaporizers,90%,$35.00 ,"Energetic,Talkatve,Uplifted",Not Specified,Sweet and subtly tart but refreshing and light,90,35
Tropicana Cookies | Live Resin | 0.5g,MFNY,Sativa,Vaporizers,78.80%,$50.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,78,50
Head Space | Flight Pack | Launch Sequence | Sativa | 5 Pack,Head Space,Sativa,Pre-rolls,20.65%,$30.00 ,"Creative,Uplifted,Energetic,Happy,Inspired",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",20,30
Launch Sequence (Sativa) | 1g,Head Space,Sativa,Pre-rolls,20.65%,$11.00 ,"Creative,Uplifted,Energetic,Happy,Inspired",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",20,11
Bliss | Disposable Vape,avrloom,Sativa-Hybrid,Vaporizers,75%,$35.00 ,"Creative,Energetic,Happy,Uplifted",Not Specified,"Enjoy uplifting sensory effects of ayrloom mood?s bliss, with an earthy, sweet citrus blend. refresh + invigorate with an inspiring combination to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS CANNABIS EXTRACT, BOTANICALLY DERIVED TERPENES INSTRUCTIONS INHALE FOR 3-5 SECONDS. WAIT AT LEAST 30 SECONDS BETWEEN PUFFS. STORE VERTICALLY AND AT ROOM TEMPERATURE AWAY FROM LIGHT.",75,35
Boost | Tablets | 2 Pack,1906,THC,Edibles,10mg,$4.00 ,"Happy,Uplifted",Not Specified,"Get a boost with the fastest, cleanest, and healthiest way to consume THC. Boost is the only 1906 Drop not infused with plant medicines or designed to create a specific effect. Simply swallow to enjoy a healthier, microdosed high in 20 minutes or use to boost any other 1906 Experience.Boost is the fastest acting edible. No sugar, no calories, no gluten, and vegan.",10,4
Go | Tablets | 2 Pack,1906,THC,Edibles,10mg,$4.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Go promotes natural energy through a blend of cannabis, caffeine, and three plant medicines. Swallowable pills with rapid onset of 20 minutes. Vegan, calorie-free, sugar-free, and gluten-free.",10,4
Bliss | Tablets | 2 Pack,1906,THC,Edibles,10mg,$4.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Bliss promotes extroverted happiness and euphoria through a blend of cannabis and two plant medicines. Swallowable pills with rapid onset of 20 minutes. Vegan, calorie-free, sugar-free, and gluten-free.",10,4
Boost+ | Tablets | 3 Pack,1906,THC,Edibles,90mg,$4.00 ,"Happy,Uplifted",Not Specified,"Get a boost with the fastest, cleanest, and healthiest way to consume THC. Boost is the only 1906 Drop not infused with plant medicines or designed to create a specific effect. Simply swallow to enjoy a healthier, microdosed high in 20 minutes or use to boost any other 1906 Experience.Boost is the fastest acting edible. No sugar, no calories, no gluten, and vegan.",90,4
Boost | Tablets | 20 Pack,1906,THC,Edibles,90mg,$17.70 ,"Happy,Uplifted",Not Specified,"Get a boost with the fastest, cleanest, and healthiest way to consume THC. Boost is the only 1906 Drop not infused with plant medicines or designed to create a specific effect. Simply swallow to enjoy a healthier, microdosed high in 20 minutes or use to boost any other 1906 Experience.Boost is the fastest acting edible. No sugar, no calories, no gluten, and vegan.",90,17.7
Go | Tablets | 20 Pack,1906,THC,Edibles,100mg,$35.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,"Go promotes natural energy through a blend of cannabis, caffeine, and three plant medicines. Swallowable pills with rapid onset of 20 minutes. Vegan, calorie-free, sugar-free, and gluten-free.",100,35
Chill | Tablets | 20 Pack,1906,THC,Edibles,100mg,$35.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Chill promotes relaxation through a blend of cannabis, CBD, and plant medicine. Swallowable pills with rapid onset of 20 minutes. Vegan, calorie-free, sugar-free, and gluten-free.",100,35
Love| Tablets | 30 Pack,1906,THC,Edibles,75mg,$35.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Love boosts arousal through a blend of cannabis and five herbal aphrodisiacs. Swallowable pills with rapid onset of 20 minutes. Vegan, calorie-free, sugar-free, and gluten-free.",75,35
2J's Cannabis | R&B's Rasberry Gummies | 100mg,2J'S Cannabis,THC,Edibles,100mg,$18.00 ,"Happy,Uplifted,Energetic,Inspired",Not Specified,"Cannabis infused gummies evenly dosed commonly sold in multi-packs, which makes controlling your intake easy and reliable. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,18
Relief Tincture,Head & Heal,THC,Tincture,300mg,$80.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A blend of three different cannabinoids formulated to naturally promote deep and restful sleep.Ingredients: Organic MCT oil, cannabis extract Precise-dosing information for every bottle is included on the side of each box. Simply measure out your exact dose and drop directly into your mouth 30 minutes before bedtime to promote a healthy sleep cycle and wake up feeling refreshed.",300,80
Head & Heal | Sleep | Tincture | CBD+CBN Blend,Head & Heal,THC,Tincture,300mg,$64.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A blend of three different cannabinoids formulated to naturally promote deep and restful sleep.Ingredients: Organic MCT oil, cannabis extract Precise-dosing information for every bottle is included on the side of each box. Simply measure out your exact dose and drop directly into your mouth 30 minutes before bedtime to promote a healthy sleep cycle and wake up feeling refreshed.",300,64
Head & Heal | Focus | CBG,Head & Heal,THC,Tincture,300mg,$64.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A blend of three different cannabinoids formulated to naturally promote deep and restful sleep.Ingredients: Organic MCT oil, cannabis extract Precise-dosing information for every bottle is included on the side of each box. Simply measure out your exact dose and drop directly into your mouth 30 minutes before bedtime to promote a healthy sleep cycle and wake up feeling refreshed.",300,64
Sleep Tincture,Head & Heal,THC,Tincture,300mg,$70.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A blend of three different cannabinoids formulated to naturally promote deep and restful sleep.Ingredients: Organic MCT oil, cannabis extract Precise-dosing information for every bottle is included on the side of each box. Simply measure out your exact dose and drop directly into your mouth 30 minutes before bedtime to promote a healthy sleep cycle and wake up feeling refreshed.",300,70
Focus Tincture,Head & Heal,THC,Tincture,300mg,$70.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A blend of three different cannabinoids formulated to naturally promote deep and restful sleep.Ingredients: Organic MCT oil, cannabis extract Precise-dosing information for every bottle is included on the side of each box. Simply measure out your exact dose and drop directly into your mouth 30 minutes before bedtime to promote a healthy sleep cycle and wake up feeling refreshed.",300,70
Max Strength Tincture,Head & Heal,THC,Tincture,1000mg,$110.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A blend of three different cannabinoids formulated to naturally promote deep and restful sleep.Ingredients: Organic MCT oil, cannabis extract Precise-dosing information for every bottle is included on the side of each box. Simply measure out your exact dose and drop directly into your mouth 30 minutes before bedtime to promote a healthy sleep cycle and wake up feeling refreshed.",1000,110
